,yaw_position,pitch2_moto_tmp,int_tmp,environment_tmp
0,-0.0004906553974471373,-0.008480864250584697,-0.02933973419494628,-0.019949295572836104
1,-0.0018510589770983077,-0.008831375296462052,-0.02926340045025086,-0.020526938866540972
2,-0.002836294930085609,-0.009290012261382152,-0.028715264335170937,-0.020974884414401693
3,-0.0033416600147609943,-0.009817616802269669,-0.0276605118179407,-0.021200047268440575
4,-0.003294997163809016,-0.010364181861394428,-0.026078214972883262,-0.021059896867285766
5,-0.0026638673533999346,-0.010874633255885002,-0.023959480177584702,-0.020368838026524727
6,-0.001459167359554897,-0.011297889592840393,-0.02130875034559155,-0.018921953775540915
7,0.0002650892426170337,-0.011594730154246502,-0.018148943009130433,-0.016536317403836237
8,0.002414193415729099,-0.011747093344681159,-0.014531180308848209,-0.013101845368764992
9,0.004857707982528631,-0.011764096920917066,-0.010548617225253104,-0.008631191889274012
10,0.007437593966813955,-0.011685018406777381,-0.006349873695260008,-0.00329531241002598
11,0.009978283099987495,-0.011575480585252484,-0.0021474421020051954,0.002569275779038746
12,0.012300032641035658,-0.011517140076479304,0.0017863975295577122,0.00848758378718048
13,0.014231429930214978,-0.011590521360526296,0.005140181174768721,0.013909458251555151
14,0.015622805787257915,-0.011855824209958565,0.007602449673532817,0.018301430135796562
15,0.016359279662902376,-0.012334744360104288,0.008913205049914906,0.02124907877997978
16,0.016373076163190087,-0.01300189047948852,0.008915404609250506,0.022541039229978105
17,0.01565509627288683,-0.013788122018033588,0.007588058614465869,0.022206107200803044
18,0.014260312563198208,-0.014597298048661056,0.0050475177444890135,0.02048491148348454
19,0.01230605908265306,-0.015332324384616958,0.0015153494423394212,0.017747669255177387
20,0.009960305846213574,-0.015923704049299325,-0.0027318406548571053,0.01439355965881664
21,0.007424628902703012,-0.016347537691181135,-0.007410850503839071,0.010772413641959216
22,0.004912043337965716,-0.016627311515749033,-0.012262041295423173,0.007152452417131611
23,0.002626810330604218,-0.016818757494849068,-0.017059095444108843,0.003731293912687908
